supplier_name_original,abn,acn,match_method
Power & Data Support Services Pty Ltd,,,
Pitcher Partners,,,
AI Brisbane Pty Ltd,,,
Sarstedt Australia Pty Ltd,,,
St John Ambulance Australia (QLD),,,
Alphacare Pty Ltd,,,
iLab Australia,,,
talentCRU,,,
ABN: 81 130 066 214,81130066214.0,,extracted_from_name
GRIT Talent Consulting Pty Ltd,,,
Workpac Group,,,
Altus Group Consulting,,,
Red Cursor Pty Ltd,,,
ABCc Towing Services Pty Ltd,,,
Zero Seven Pty Ltd,,,
Resourceful Recruitment Pty Ltd,,,
Allens,,,
Deloitte PDS Group Pty Ltd,,,
a Records Solutions),,,
Boston Scientific P,,,
DB Results Pty Ltd,,,
Peter Pal Library Supplier,,,
Trimoda Digital Pty Ltd,,,
GWI Pty Ltd (formerly Glentworth Consulting Pty Ltd),,,
Applied Medical Australia Pty Ltd,,,
WATERSTOP SOLUTIONS (QLD) PTY LTD,,,
a Easy Authoring,,,
a GOSOL),,,
Peddle Thorp & Harvey Pty Ltd,,,
Device Technologies Aust P,,,
ABN: 94 634 200 132,94634200132.0,,extracted_from_name
Access HQ Pty Ltd,,,
ThomsonAdsett,,,
Australian Public Sector Training,,,
"Performance Strategies,",,,
Agfa Australia Pty Ltd,,,
• Merit Medical Australia Pty Ltd,,,
The Boston Consulting Group Pty Ltd,,,
Dawson's Technical Services Pty Ltd,,,
Osborne Richardson,,,
IPS Management Consultants (Indigenous Professional Services Pty Ltd),,,
Bond University Limited,,,
Easy Authoring,,,
Servian Pty Ltd,,,
Olikka Pty Ltd,,,
Phone: 07 4064 9990,,,
On Kews Property Maintenance,,,
4. Queensland Computers:,,,
Minter Ellison,,,
Aurecon Australasia Pty Ltd,,,
"Shape Consulting,",,,
New Wave Housing Pty Ltd,,,
Natural Ideas In Chairs Pty Ltd t,,,
Marlee constuctions Pty Ltd,,,
Premier Contact Point Pty Ltd – ABN 25639746464,25639746464.0,,extracted_from_name
NEXTGEN OPTIMA PTY LTD,,,
PREMIER FIRE PTY LTD,,,
Contact: Katrina Hazlett,,,
Tribus Advisory,,,
The Social Deck,,,
Qprocurement Pty Ltd,,,
SUNNYBANK HILLS  QLD  4109,,,
web: www.salesforce.com,,,
Remote Building Solutions Pty Ltd,,,
"Nurturing Confidence,",,,
Kerr Australia Pty Ltd,,,
ExpediteIT,,,
Institute for Healthy Communities Australia,,,
"PlanIT Test Management Solution Pty Ltd, ABN 61 079 209 135",61079209135.0,,extracted_from_name
Accenture Australia Holdings Pty Ltd,,,
Telephone: 07 5500 0035,,,
Kellogg Brown & Root Pty Ltd,,,
Sanulac Nutritionals Australia Pty Ltd (previously Aspen Nutritionals Australia Pty Ltd),,,
Optus Networks Pty Ltd,,,
• Kia,,,
CVSG ASSET SERVICES PTY LTD,,,
The Frame Group Pty Ltd,,,
Gadens Lawyers,,,
EIGHT 3 CONSTRUCTIONS PTY LTD,,,
New Base,,,
INDITAG PTY LTD,,,
Leading Humans Pty Ltd,,,
Pack of 7 Pty Ltd,,,
GWI Pty Ltd - ABN 78154924393,78154924393.0,,extracted_from_name
Architectural Collaborative Pty Ltd,,,
CS Technology (Australia) Pty Ltd c,,,
a Reef City Maintenance & Construction,,,
ADAM MANSEY PTY LTD,,,
CDRU NSW Pty Ltd (t,,,
RiskIQ,,,
a Brooke),,,
a NetApp),,,
Stephen De Jersey Architect Pty Ltd,,,
Colliers International (Brisbane) Pty Ltd,,,
NTT Australia Pty Ltd (formerly Dimension Data),,,
Change2020 Pty Ltd,,,
LeasePLUS Pty Ltd,,,
• EcoLab Pty Ltd,,,
Titan ICT Consultants,,,
ABN: 57 164 707 484,57164707484.0,,extracted_from_name
Dowdens Group Pty Ltd,,,
BELLMARC CONSTRUCTIONS QLD PTY LTD,,,
M5 Advisors Pty Ltd,,,
Sax Institute,,,
Tractix Pty Ltd,,,
Anatas Pty Ltd,,,
Equate Technologies Pty Ltd - ABN 47162052173,47162052173.0,,extracted_from_name
• Smoke Creative Pty Ltd,,,
Tacticall Recruitment Services,,,
Reynard Health Supplies (Aus) Pty Ltd,,,
Drivers College Australia,,,
AgileDev Solutions Pty Ltd,,,
Infoways Pty Ltd ABN: 69 158 406 921,69158406921.0,,extracted_from_name
Onyx Services Australia Pty Ltd,,,
Regional Express (Rex),,,
www.rizon.com.au,,,
• Queensland Council of Social Service (QCOSS),,,
Meeting Place Consultancy,,,
Fujifilm Data Management Solutions Australia Pty Ltd,,,
Planned Performance,,,
MANSEY PTY LTD,,,
12. Fujitsu Australia Limited                     Category 1 & 2,,,
Aztec Designs Pty Ltd,,,
WINC,,,
Escient,,,
Commerce Decisions Pty Ltd,,,
Exclaim IT Pty Ltd,,,
White Rook Cyber (A Salt Cyber Pty Ltd company),,,
John's Plumbing Service Pty Ltd,,,
Sherriff Electrical Pty Ltd,,,
Fowlers Freight Pty Ltd,,,
Pacifica,,,
WEX Australia Pty Ltd (Motorpass),,,
A-dec Australia,,,
Ausmedic Australia Pty Ltd (trading as Performance Health ANZ),,,
LANBUILD PTY LTD,,,
B.Braun Australia Pty Ltd,,,
Emanate Technology,,,
Arq Group (Outware Mobile),,,
760 Beenleigh Road,,,
57 Leyland Street,,,
Lactalis,,,
"Institute of Change,",,,
Limelight Consulting Group Pty Ltd,,,
Adsun Energy Pty Ltd,,,
DHI,,,
TriCAD Design (Paul Douglas Meredith),,,
Ortho Solutions P,,,
The Trustee for Sampson Business Trust trading as TransformD Consulting,,,
Lightbox Architecture & Interiors Pty Ltd,,,
Black EME Pty Ltd t,,,
FleetPlus Pty Ltd,,,
CMD Solutions,,,
Ashdale Integrity Solutions,,,
• Ford,,,
Executive Distributors,,,
RYAN WILKS PTY. LTD.,,,
Ebos Group Australia Pty Ltd,,,
K.J.Ross and Associates,,,
ABN: 13 650 322 099,13650322099.0,,extracted_from_name
Facsimile: 07 3254 8067,,,
Gregory Commercial Furniture Pty Ltd,,,
Rapid Group Co-operative Ltd,,,
Bloom IT Consulting Pty Ltd,,,
Allstyle Homes (QLD) Pty Ltd,,,
Focus Professional Services,,,
CPM Advisory & Project Management,,,
sms-education,,,
Roadcraft Driver Education,,,
Clarke and Prince Pty Ltd,,,
a Salesforce,,,
Warajay International H Pty Ltd (Warajay),,,
SitePages,,,
Cubesys Pty Ltd,,,
a Urban Play,,,
Ranbury Management Group Pty Ltd,,,
Transmax Pty Ltd,,,
Smartsalary Pty Limited,,,
CARRIER AUSTRALIA PTY LTD,,,
McLean Projects,,,
Civica Pty Limited,,,
Mediscrubs Pty Ltd,,,
CyberCX,,,
"Threat Intelligence Pty Ltd, ABN 43 156 362 300",43156362300.0,,extracted_from_name
a The Therapy Collective Pty Ltd,,,
2XM Recruit Pty Ltd,,,
• Volkswagen,,,
Keith Heffernan Pty Ltd t,,,
Resource 23,,,
North Projects Pty Ltd,,,
Ngamuru Advisory Pty Ltd,,,
"Radiant Security, ABN 54 635 730 139",54635730139.0,,extracted_from_name
Faction Consulting Harris Kmon Solutions Pty Ltd,,,
Schulke Australia Pty Ltd,,,
Facsimile: 07 3552 8399,,,
Sutherland Medical Pty Ltd,,,
"Bendelta,",,,
The Trustee for The Amalgamated Locksmiths Trust,,,
GALAXY PLUMBING (QLD) PTY LTD,,,
"Paradigm Infinitum,",,,
FNQ FOOTPRINTS PLUMBING & GAS PTY LTD,,,
Onten Strategic Recruitment,,,
REVOLUTION ELECTRICAL PTY LTD,,,
BP Australia Pty Ltd,,,
Medartis Australia & NZ Pty Ltd,,,
Royal Life Saving Society Queensland Inc,,,
Redstone Medical Pty Ltd,,,
a Centrecourt Constructions,,,
Geofabrics Australisia Pty Ltd,,,
AECOM Australia,,,
JUBILEE ENERGY HOLDINGS PTY LTD,,,
"Donohoe Consulting,",,,
Brennan IT Pty Ltd,,,
Connell Enterprises Pty Ltd,,,
Adrian Butcher Building,,,
Eagle Farm   Qld   4009,,,
Scientific Pest & Vegetation Management,,,
Industrial Galvanizers Corporation Pty Ltd T,,,
Q5 Australia Pty Ltd,,,
PinnacleQM Pty Ltd,,,
Rede Project Consulting Pty Ltd,,,
"Spry, Michael John & Josephine Doreen, The Trustee for Spry Family Trust",,,
MURAconnect,,,
Sharp & Carter Brisbane Pty Ltd,,,
De Neefe Pty Ltd T,,,
Email: sam.innes@rorkprojects.com.au,,,
Surety Solutions Pty Ltd (t,,,
"Re-Engineering Australia Foundation Ltd, ABN: 12 095 876 323, Unit 7, 20-22 Foundry Road, Seven Hills NSW 2147, Contact: Michael Myers, Phone: 1300 204 478, Email: michael.myers@rea.org.au, Machinery Category: Part B",12095876323.0,,extracted_from_name
Chartertech Pty Ltd,,,
Grosvenor Management Consulting,,,
Infinite Consulting Pty Ltd,,,
JHA Consulting Engineers,,,
Contino,,,
Recruitment 24,,,
Rapid Platform Project Pty Ltd,,,
Jon & Jon Consulting Pty Ltd,,,
www.aizer.com.au,,,
DotSec Pty Ltd,,,
Org Canvas Pty Ltd (formerly Capital Advisory Partners P,,,
PFD Food Services,,,
A),,,
BOC Limited,,,
Medi Australia Pty Ltd,,,
Effective Governance Pty Ltd,,,
"FIREUP Coaching Pty Ltd,",,,
Datacom,,,
NQ Staff Services Pty Ltd,,,
A Evie Networks),,,
OniGroup Pty Ltd,,,
• New Word Order,,,
PO Box 3739,,,
"Connect Services Pty Ltd, ABN: 72 655 856 376, Suite 7, 1 Clunies Ross Court, Eight Mile Plains, 4113 QLD, Contact: Trevor Manwarring, Ph: 1300 885 161, Mob: 0418 498 777, Email: info@connectservices.com.au, trevorm@connectservices.com.au",72655856376.0,,extracted_from_name
Email: building@aizer.com.au,,,
M&T Resources Pty Ltd,,,
Mathys Orthopaedics Pty Ltd,,,
Multigate Medical Products Pty Ltd,,,
ISG (Information Services Group),,,
Lumify Work Australia (formerly Dimension Data Learning Solutions),,,
Corporate Driver Training Australia,,,
Roche Diagnostics Australia Pty Ltd,,,
Go1 Pty Ltd,,,
Merit Solutions Pty Ltd ATF Merit Solutions Unit Trust,,,
Allstruct Pty Ltd,,,
GSA GROUP PTY LTD,,,
• Market & Communications Research (MCR),,,
Strategenics Pty Ltd,,,
NTT Australia Digital Pty Ltd (formerly Oakton Services),,,
Contact: Katrina Spiller,,,
1-5 Knobel Court,,,
Adecco Australia Pty Ltd,,,
aTownsville Building Services,,,
RBG Lawyers,,,
VMLY&R,,,
Northern Nursing,,,
Praxis 2000 Pty Ltd,,,
CONTACTUS ELECTRICAL PTY LIMITED,,,
Jones Lang LaSalle Advisory Services (JLL),,,
Astral Consulting Services,,,
Parker Healthcare Pty Ltd,,,
SAPE Industries Pty Ltd,,,
Konica Minolta Business Solutions Australia Pty Ltd,,,
FLOORING CENTRAL PTY LTD,,,
Heywood Engineering Solutions Pty Ltd,,,
Simient Pty Ltd,,,
TPG Network Pty Ltd – ABN 85003064328,85003064328.0,,extracted_from_name
"Platinum Electrical & Air, ABN: 32 109 626 940, 216 South Pine Road, Enoggera Qld 4051, Contact: Peter Collins, Ph: 1300 606 380, Email: det.ict@platinumelectrical.net, peter.collins@platinumelectrical.net",32109626940.0,,extracted_from_name
Teba Group Pty Ltd,,,
1Spatial Australia,,,
GFG Projects Pty Ltd,,,
12 Greg Jabs Drive,,,
Topo Group Pty Ltd,,,
Chamonix IT Consulting (QLD) Pty Ltd,,,
InterMed Medical Pty Ltd,,,
Jigsaw Talent Management,,,
Geode Solutions,,,
The Ethical Consulting Group,,,
Cottee Parker Architects Pty Ltd,,,
14 Jordan Terrace,,,
Francis Group Consultants Aust Pty Ltd,,,
10. Datacom Systems Ltd                        Category 1 & 2,,,
PMA Global Pty Ltd,,,
Creature Consulting Pty Ltd (t,,,
Ph:1800247254,,,
Ipswich Pro Drive,,,
Institute for Healthy Communities Australia Limited,,,
PeakXD (Peak Usability),,,
LTT Group Pty Ltd,,,
Trevor-Roberts,,,
Microsoft Pty Ltd,,,
"Bedrock Books, Box of Books, Campion Education, CleverPatch, Complete Office Supplies, Eckersleys Arts & Craft, EDSCO, Harley's Educational, Hart Sport, Impact Office Supplies, Kookaburra Educational Resources, MK Educational, Modern Teaching Aids (MTA), My School Gear, Network Educational, Office National Yatala, Officeworks, Oxlades Art Supplies, ReadCloud, RH Sports, S&S Wholesale, School Art Supplies, Schoolstuff, Sequel School & Office Supplies, Speedy School Supplies, The Book House, Warrego Office Choice, Winc Australia",,,
Contact: Dean Jackson,,,
NRI Australia Limited,,,
Worklocker SC,,,
JMJB Pty Ltd (JSAcreative),,,
Intelligent Document Solutions Pty Ltd,,,
Oakton Services Pty Ltd - ABN 31100103268,31100103268.0,,extracted_from_name
Ryno Fencing Pty Ltd,,,
Iron Mountain Australia Group Pty Ltd,,,
Tacmed Australia Pty Ltd,,,
www.reefcitymaintenance.com.au,,,
NIVEK PLUMBING INNISFAIL PTY LTD,,,
Konica Minolta Marketing Services (Australia) Pty Limited,,,
ServiceNow Australia Pty Ltd,,,
Email: dwayne@reefcitymaintenance.com.au,,,
• Liberty Medical T,,,
ABN: 50 005 632 708,50005632708.0,,extracted_from_name
The Pharmacy Guild of Australia,,,
ISBS Solutions Pty Ltd (t,,,
BROWNS PLAINS  BC  QLD  4118,,,
KELVIN GROVE  QLD  4059,,,
ASPCQ PTY LTD,,,
Pebble IT,,,
CDI Pest Management,,,
Hames Sharley QLD Pty Ltd,,,
SafetyCulture Pty Ltd,,,
Opira Pty Ltd,,,
Division 5 Pty Ltd - ABN 16637663908,16637663908.0,,extracted_from_name
RIOT Solutions Pty Ltd - ABN 73606466102,73606466102.0,,extracted_from_name
Telephone: 0409 437 483,,,
Baker& McKenzie,,,
Akkodis Australia Consulting Pty Ltd,,,
Miktysh Solutions Pty Ltd,,,
AEC Group Ltd,,,
Bridge42,,,
PO Box 3125,,,
KPI Services (QLD) Pty Ltd,,,
RIBSHIRE PTY. LTD.,,,
Cowie Group Western Cape Pty Ltd (Indigenous Business),,,
* BIGmate Transport,,,
K & K Consulting Engineers Pty Ltd,,,
"Meritos,",,,
Nutricia Australia Pty Ltd (Early Life Nutrition),,,
a Invise),,,
ABN: 84 164 509 139,84164509139.0,,extracted_from_name
"Team Management Systems,",,,
COFORGE DPA Australia Pty Ltd,,,
Colliers International Project Management Pty Ltd,,,
National Surgical P,,,
T & R Clews Pty Ltd,,,
Atris Pty Ltd,,,
Carrington Associates Asia Pacific Pty Ltd,,,
Bausch & Lomb Pty Ltd,,,
Entelsoft Pty Ltd,,,
PM-Partners,,,
Air Restore Pty Ltd,,,
Grosscom United Pty Ltd ATF Grosscom Family Trust,,,
Direct Pest Control - Kingaroy,,,
Talent Street,,,
* IntelliTrac,,,
NewBase Computer Services Pty Ltd - ABN 17010702717,17010702717.0,,extracted_from_name
Technology Governence Services,,,
Fairmont Medical Products Pty Ltd,,,
"Earlville, CAIRNS   QLD  4870",,,
Salary Packaging Australia Pty Limited,,,
Louis.gravestein@symbio.com.au,,,
Device Technologies,,,
Safe Tech 360 (t,,,
"A & J Communications Pty Ltd, ABN: 69 117 449 260,	437 Alderley Street, Toowoomba Qld 4350, Contact: Brad Hinrichsen, Ph:1300 222 546, Mob: 0407 582 828, Email	brad.hinrichsen@ajts.com.au, and qed@ajts.com.au",69117449260.0,,extracted_from_name
Edwards Lifesciences P,,,
• Bunzl Outsourcing Services,,,
Harris Kmon Solutions Pty Ltd,,,
Donald Cant Watts Corke (Qld) Pty Ltd,,,
Facsimile: 07 3257 7321,,,
• RAM,,,
Total Uniform Solutions,,,
iiSolutions Pty Ltd,,,
Gibson Architects Pty Ltd,,,
The Workwear Group Pty Ltd,,,
DB Schenker Australia Pty Ltd,,,
Liquid Interactive,,,
352 Bilsen Road,,,
Ph: 07 3373 3000,,,
Email: Matt@apsqld.com,,,
Water Technology Pty Ltd,,,
Kingston Human Capital Pty Ltd,,,
Shed 2,,,
DENBERTH PTY. LTD.,,,
ENGIE MECHANICAL SERVICES (QLD) PTY LIMITED,,,
People2people Recruitment (QLD) Pty Ltd,,,
Ennis Traffic Safety Solutions Pty Ltd T,,,
PENSKE AUSTRALIA PTY LTD,,,
Oakton Services Pty Ltd,,,
Dean & Ling QLD Pty Ltd,,,
The Change Agency Pty Ltd,,,
CommsPlus Distribution Pty Ltd – ABN 90158828221,90158828221.0,,extracted_from_name
BELLARINE PAINTING PTY LTD,,,
a Velrada),,,
Kinetic IT,,,
"JDS Australia Pty Ltd, ABN 88 471 933 631",88471933631.0,,extracted_from_name
Medipeople Pty Ltd,,,
Fulton Trotter Architects,,,
Howard Wright Limited,,,
Contact: Matthew Long,,,
Telephone: 1300 480 443,,,
"Ashley Coaching & Consulting,",,,
Mobile: 0431 098 692,,,
Guymer Bailey Landscape,,,
Assure Programs (CommuniCorp Group Pty Ltd),,,
Technology People Queensland,,,
- LMT Surgical Pty Ltd*,,,
Brooke Institute Pty Ltd (t,,,
inSite Construction Services Pty Ltd,,,
Gruntify Pty Ltd (t,,,
"Bayswater, Vic 3153",,,
Klearnet Solutions Pty Ltd,,,
Hitachi Vantara Australia Pty Ltd - ABN 65005610079,65005610079.0,,extracted_from_name
Cloudmarc Pty Ltd,,,
Stryker Aust P,,,
Murilla Community Centre Inc,,,
a Queensland Dental Services,,,
Sexton Trading Company Pty Ltd,,,
ITOC Pty Ltd,,,
Transform Developments Pty Ltd (The Trustee for Sampson Business Trust),,,
KSG CIVIL AND CONSTRUCTION PTY LTD,,,
a The Play Works,,,
Braums Pty Ltd,,,
Imagine Communications Pty Ltd ATF Imagine Trust,,,
Mobile: 0411 658 338,,,
I SOURCE LOGISTICS PTY LTD,,,
Pro AV Solutions (Qld),,,
ThoughtWorks,,,
Meld Studios Pty Ltd,,,
Shimadzu Medical Systems Oceania Pty Ltd,,,
VAE,,,
Grey Space Plus Pty Ltd,,,
W. T. MORRIS & SONS PTY. LTD.,,,
PSA Consulting (Australia) Pty Ltd  RMA Engineers Pty Ltd,,,
Zimmer Biomet P,,,
The trustee for the Tower Mountain Trust (Totally Workwear Cairns) (previously Kingsbury Investments Pty Ltd),,,
"71 Stradbroke Street, Heathwood Qld 4110",,,
Orion Health Pty Ltd,,,
Contact Person: Stuart Aird – National Sales Development Manager,,,
Evolve Equipment Management,,,
New Eye Company Pty Ltd,,,
DQA Pty Ltd (DeliveryQA),,,
Collaborative Cost Management,,,
Hudson Global Resources (Aust) Pty Ltd,,,
Edwards Group Holdings Pty Ltd,,,
Redleap Consulting Pty Ltd,,,
Mobile: 0456 000 344,,,
CONTACT: Samantha Baxter,,,
Unique Building Services Pty Ltd,,,
FourPL Pty Ltd,,,
Snow Software,,,
Aitken Legal Pty Ltd,,,
River Sands Pty Ltd,,,
All Door Solutions Pty Ltd,,,
Queensland University of Technology,,,
Rednax Recruitment Pty Ltd,,,
EMT Healthcare Pty Ltd,,,
Contact Person: Brad Henderson - CEO,,,
• Henry Schein Regional Pty Ltd,,,
www.rorkprojects.com.au,,,
BMT Commercial Australia Pty Ltd,,,
Medrecruit International Limited Partnership,,,
NCC Group Pty Ltd,,,
Empowered Learning,,,
Wise Workplace,,,
EasiFleet Pty Ltd,,,
BEAT Architects,,,
B. Braun Australia Pty Ltd,,,
07 3166 0700,,,
Beca,,,
The Trustee for The EMS Family Trust (trading as Elite Medical Supplies),,,
BDO (Qld) Pty Ltd,,,
Queensland Computers,,,
Harvey's Towing (QLD) Pty Ltd,,,
LEVEL ONE FLOORING PTY LTD,,,
Artcraft Propriety Limited,,,
Comlinx Pty Ltd,,,
BABINDA ELECTRICS PTY LTD,,,
Bornhorst & Ward Pty Ltd,,,
Cook Medical Aust P,,,
Email: gavin@quadric.com.au,,,
OBI PM Group (James Wright T,,,
GP One Consulting Pty Ltd,,,
"Leading Well Group,",,,
Altius Group,,,
Telephone:1800 334 633,,,
B2W Solutions,,,
Programmed Health Professionals Pty Ltd,,,
• Forethought,,,
FOLK Pty Ltd,,,
Hologic (Australia) Pty Ltd,,,
Zzoota - Space Combinator Pty Ltd,,,
• Advantage Healthcare Pty Ltd,,,
Beyondedge Pty Ltd,,,
Caybris Consulting Pty Ltd,,,
"Australian Instititue of Management Education and Training,",,,
Semantic Sciences Pty Ltd,,,
BVN Architecture Pty Ltd,,,
C5 Technology Pty Ltd - ABN 24159620925,24159620925.0,,extracted_from_name
Programmed Skilled Workforce Limited,,,
CGI Technologies and Solutions Australia Pty Ltd (formerly Logica),,,
She wear,,,
Pipefish Pty Ltd,,,
Fencebuild (Australia) Pty Ltd,,,
FlowBuilders Pty Ltd,,,
a Officeworks,,,
Privacy 108 Consulting Pty Ltd - ABN 52600425885,52600425885.0,,extracted_from_name
• Device Technologies Australia,,,
Fast Cities Australia Pty Ltd (T,,,
Data#3 - ABN 31010545267,31010545267.0,,extracted_from_name
DM2 Architecture Pty Ltd,,,
CITEC - ABN 52566829700,52566829700.0,,extracted_from_name
Decipher Bureau QLD Pty Ltd,,,
a Environmental Soil Solutions Australia Pty Ltd (ESSA),,,
Nexia Brisbane Audit Pty Ltd,,,
Nous Group,,,
Capegem Pty Ltd  t,,,
WILLAWONG  QLD  4110,,,
Multicultural Australia,,,
Tectonic Geotechnical Pty Ltd,,,
The Book House,,,
Counterpoint Architecture Pty Ltd,,,
2XM Consult Pty Ltd,,,
Argus Probity and Procurement Pty Ltd,,,
IntelliTraffic Pty Ltd,,,
DLA Piper,,,
AllaboutXpert Australia Pty Ltd,,,
a Ingal Civil Products,,,
Strait Support Pty Ltd,,,
GE Healthcare Australia Pty Limited,,,
Empire Group,,,
CONTACT: Roman Purnell,,,
Bendelta,,,
Buccaneer Communications,,,
a Link Digital),,,
a L+R (SEQ),,,
Email: sales@videopro.com.au,,,
LOWCOCK BUILDERS PTY LTD,,,
Balance Medical Pty Ltd,,,
Innerspace (QLD) Seating & Systems Pty Ltd,,,
Vegies Unlimited,,,
• Ecomed Trading Pty Ltd,,,
Wilson Architects Pty Ltd,,,
Email: solutions@queenslandcomputers.com.au,,,
ProCrew,,,
SMEC Australia Pty Ltd,,,
Dormakaba Australia Pty Ltd,,,
11. Dell Australia Pty Ltd                          Category 1 & 2,,,
a Sturdy Framac (QLD),,,
Morningside QLD 4170,,,
Elevate Careers Pty Ltd,,,
Meritos,,,
m3property Australia,,,
ABN: 54 071 410 332,54071410332.0,,extracted_from_name
Avanos Medical Australia Pty Ltd (previously Halyard Australia Pty Ltd),,,
Nestlé Australia Ltd,,,
Troutbeck & Associates Pty Ltd,,,
Email: Katrina.spiller@integrateav.com.au,,,
Contact: Phil MacPhail,,,
DEK Corporation Pty Ltd,,,
CoreBridge Pty Ltd,,,
Xigent Locums Pty Ltd,,,
CQR Consulting Australia Pty Ltd (a CyberCX company),,,
a Transport Priorities,,,
Contact: Tony Church or Mark Leaman,,,
Starling Services Pty Ltd,,,
Telephone: (07) 3102 4988,,,
SecureStack,,,
PO Box 160,,,
Cleanaway Operations Pty Ltd,,,
Adapt Ventures Pty Ltd - ABN 33125150567,33125150567.0,,extracted_from_name
Horten Medical Pty Ltd,,,
Escient Pty Ltd - ABN 20613555810,20613555810.0,,extracted_from_name
Richard Field Constructions P_L,,,
CONTACT: Gavin Thorley,,,
Avanade Australia Pty Ltd,,,
NeuroLeadership Institute Australia Pty Ltd,,,
"WILLIAMS, RUSSELL WALTER The Trustee for THE R AND M WILLIAMS FAMILY TRUST",,,
Enprocon (QLD) Pty Ltd,,,
Mobile: 0447 146 721,,,
Lawson Elliott Queensland Ltd,,,
HENNSOL Pty Ltd,,,
SUNNYBANK  QLD  4109,,,
New Arenas Capital Pty Ltd,,,
• Getinge Australia Pty Ltd,,,
Court Craft Sporting Surfaces Pty Ltd,,,
RIPPA ENTERPRISES,,,
Additional vendors may be added to this arrangement during the term.,,,
Polaris Data Centre.,,,
Email: nash@ensinteractive.com.au,,,
FAA Payroll & Admin Services Pty Ltd (FAA Sal Pac (FSP)),,,
Getz Healthcare P,,,
Specialised Property Consulting Pty Ltd,,,
Medtronic Australasia P,,,
Symplicit,,,
Tetra Tech Coffey Pty Ltd,,,
WAMAC Software Pty Ltd,,,
Seers Group Australia Pty Ltd,,,
B & N GLASS AND ALUMINIUM PTY LTD,,,
"62 Secam Street, Mansfield Qld 4122, Contact: Andrew Beith, Ph: 1300 353 232, Mob: 0405 057 070, Email: andrew@evergreenelectrical.com.au, admin@evergreenelectrical.com.au",,,
Schiavello Systems (Qld) Pty Ltd,,,
Rapp Australia Pty Ltd,,,
Paul Hartmann Pty Limited,,,
Echo Health Care Solutions Pty Ltd,,,
ATI Australia Pty Ltd,,,
Carestaff Nursing Services Pty Ltd,,,
email: Stephen.Ward@nri-anz.com,,,
a Austek Play,,,
Design Works Apparel Pty Ltd,,,
Giarola Architects Pty Ltd,,,
Grassports Australia (QLD) Pty Ltd,,,
Peters Ice Cream,,,
Cardinal Health Australia 503 Pty Ltd. (c,,,
About Tech,,,
Telephone: 07 3861 8200,,,
PO Box 1043,,,
Urban Play Pty Ltd ATF Ben Urban Services Trust t,,,
Datalek Systems & Electrical Pty Ltd,,,
Pinkenba   Qld   4008,,,
CNW Pty Ltd,,,
Jackson Talent Management,,,
PO Box 2990,,,
Centorrino Technologies Pty Ltd,,,
"MJB Solutions Pty Ltd, ABN: 44 069 701 220, Unit 13, 23-25 Skyreach Street, Caboolture, QLD 4510, Contact: Melinda McCall, Ph: (07) 3077 9624, Mob: 0418 412 952, Email: support@mjb.com.au, melinda.mccall@mjb.com.au",44069701220.0,,extracted_from_name
MBMpl Pty Ltd,,,
Ross Garland and Associates,,,
Cooper Grace Ward Lawyers,,,
Phillips Smith Conwell Architects Pty Ltd,,,
Mackay Auto Doors and Gates,,,
Toowong PG Pty Ltd T,,,
Leaders IT Services Pty Ltd,,,
Libertas Partners Pty Ltd,,,
Email: geoffo@nqlms.com.au,,,
Interactive Pty Ltd,,,
Australian Off-road Academy,,,
Mun Australia Pty Ltd,,,
Stacktrace Pty Ltd,,,
Aussie Locums Pty Ltd,,,
Osborn Consulting Engineers Pty Ltd,,,
Telephone: 07 3275 0000,,,
Klok Advisory Pty Ltd,,,
Woods Furniture Pty Ltd,,,
Australian Institute of Management Education and Training Pty Limited,,,
Medical & Optical Instruments Australia Pty Ltd,,,
Vertical Telecoms Pty Ltd T,,,
TEC150 Pty Ltd,,,
CR Kennedy & Company Pty Ltd,,,
Telephone: 1300 766 997,,,
AXIS Rehabilitation at Work,,,
ALLENCROFT PTY. LTD,,,
Concept Recruitment Specialists Pty Ltd,,,
"Growth Coaching International,",,,
Bosco Medical Australia Pty Ltd,,,
ITL Australia Pty Ltd,,,
The Strategic Directions Group Pty Ltd,,,
My Cloudland Pty Ltd,,,
Cigniti Technologies (Australia) Pty Ltd,,,
• Publicis Brisbane,,,
* Netstar Australia (previously Pinpoint and Ezy2c,,,
A Infosec Services Pty Ltd - ABN 90692719962,90692719962.0,,extracted_from_name
AXR Group Pty Ltd,,,
Energy Market Matters,,,
Kelly Reaston Development and Property Services,,,
A E SMITH & SON (SEQ) PTY LTD,,,
Karl Storz Endoscopy Australia Pty Ltd,,,
Tuff Yards Pty Ltd,,,
RSM Australia Pty Ltd - ABN 65319382479,65319382479.0,,extracted_from_name
CARSELDINE AIR CONDITIONING PTY. LTD.,,,
dbARCH,,,
DDLS Australia Pty Limited,,,
Telephone: 1800 742 748,,,
METTLE PROJECTS PTY LTD,,,
MacArthur & Associates Pty Ltd (Creating Breakthroughs),,,
• Carbon Creative,,,
"a KJR, ABN 11 079 218 652",11079218652.0,,extracted_from_name
a Intelligent Pathways),,,
Rentokil Initial Pty Ltd,,,
7. Computer Alliance Ltd                          Category 1 & 2,,,
